n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,max_leaf_nodes,accuracy,f1_score,precision,recall,auc_roc
10,10,log2,10,4,30,0.95,0.96,1.0,0.9230769230769231,0.9230769230769231
30,30,sqrt,10,4,30,0.95,0.96,1.0,0.9230769230769231,0.9560439560439561
30,20,sqrt,10,4,30,0.95,0.96,1.0,0.9230769230769231,0.9560439560439561
30,10,sqrt,10,4,30,0.95,0.96,1.0,0.9230769230769231,0.9560439560439561
20,30,sqrt,10,4,30,0.95,0.96,1.0,0.9230769230769231,0.9450549450549451
20,10,sqrt,10,4,30,0.95,0.96,1.0,0.9230769230769231,0.9450549450549451
30,30,sqrt,5,4,30,0.95,0.96,1.0,0.9230769230769231,0.9670329670329669
10,30,sqrt,10,4,30,0.95,0.96,1.0,0.9230769230769231,0.9230769230769231
10,20,sqrt,10,4,30,0.95,0.96,1.0,0.9230769230769231,0.9230769230769231
10,10,sqrt,10,4,30,0.95,0.96,1.0,0.9230769230769231,0.9230769230769231
30,30,log2,5,4,30,0.95,0.96,1.0,0.9230769230769231,0.9670329670329669
30,20,log2,5,4,30,0.95,0.96,1.0,0.9230769230769231,0.9670329670329669
30,10,log2,5,4,30,0.95,0.96,1.0,0.9230769230769231,0.9670329670329669
20,30,log2,5,4,30,0.95,0.96,1.0,0.9230769230769231,0.9670329670329669
20,20,log2,5,4,30,0.95,0.96,1.0,0.9230769230769231,0.9670329670329669
20,10,log2,5,4,30,0.95,0.96,1.0,0.9230769230769231,0.9670329670329669
10,30,log2,5,4,30,0.95,0.96,1.0,0.9230769230769231,0.9230769230769231
10,20,log2,5,4,30,0.95,0.96,1.0,0.9230769230769231,0.9230769230769231
10,10,log2,5,4,30,0.95,0.96,1.0,0.9230769230769231,0.9230769230769231
20,30,log2,10,2,30,0.95,0.96,1.0,0.9230769230769231,0.9560439560439561
20,10,log2,10,2,30,0.95,0.96,1.0,0.9230769230769231,0.9560439560439561
30,30,sqrt,10,1,30,0.95,0.96,1.0,0.9230769230769231,0.9450549450549451
20,20,sqrt,2,2,30,0.95,0.96,1.0,0.9230769230769231,1.0
30,20,log2,2,2,30,0.95,0.96,1.0,0.9230769230769231,1.0
30,10,log2,2,2,30,0.95,0.96,1.0,0.9230769230769231,1.0
20,30,log2,2,2,30,0.95,0.96,1.0,0.9230769230769231,1.0
20,20,log2,2,2,30,0.95,0.96,1.0,0.9230769230769231,1.0
20,10,log2,2,2,30,0.95,0.96,1.0,0.9230769230769231,1.0
10,30,log2,2,2,30,0.95,0.96,1.0,0.9230769230769231,0.989010989010989
10,20,log2,2,2,30,0.95,0.96,1.0,0.9230769230769231,0.989010989010989
10,10,log2,2,2,30,0.95,0.96,1.0,0.9230769230769231,0.989010989010989
30,30,sqrt,2,2,30,0.95,0.96,1.0,0.9230769230769231,1.0
30,20,sqrt,2,2,30,0.95,0.96,1.0,0.9230769230769231,1.0
30,10,sqrt,2,2,30,0.95,0.96,1.0,0.9230769230769231,1.0
20,30,sqrt,2,2,30,0.95,0.96,1.0,0.9230769230769231,1.0
20,10,sqrt,2,2,30,0.95,0.96,1.0,0.9230769230769231,1.0
10,10,sqrt,5,2,30,0.95,0.96,1.0,0.9230769230769231,0.9560439560439561
10,30,sqrt,2,2,30,0.95,0.96,1.0,0.9230769230769231,0.989010989010989
10,20,sqrt,2,2,30,0.95,0.96,1.0,0.9230769230769231,0.989010989010989
10,10,sqrt,2,2,30,0.95,0.96,1.0,0.9230769230769231,0.989010989010989
30,30,log2,10,1,30,0.95,0.96,1.0,0.9230769230769231,0.9450549450549451
30,20,log2,10,1,30,0.95,0.96,1.0,0.9230769230769231,0.9450549450549451
30,10,log2,10,1,30,0.95,0.96,1.0,0.9230769230769231,0.9450549450549451
20,30,log2,10,1,30,0.95,0.96,1.0,0.9230769230769231,0.9450549450549451
20,20,log2,10,1,30,0.95,0.96,1.0,0.9230769230769231,0.9450549450549451
