hidden_dim,num_blocks,dropout,lr,batch_size,epochs,accuracy,f1_score,precision,recall,auc_roc
128.0,3.0,0.1,0.01,16.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.0,0.001,32.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.0,0.001,32.0,10.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.0,0.001,32.0,10.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.0,0.0005,16.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.0,0.001,32.0,10.0,1.0,1.0,1.0,1.0,1.0
32.0,3.0,0.0,0.001,32.0,10.0,1.0,1.0,1.0,1.0,1.0
32.0,3.0,0.0,0.0005,16.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.0,0.0005,16.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.2,0.0005,32.0,10.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.2,0.0005,32.0,10.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.0,0.0005,16.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.1,0.0005,32.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.1,0.0005,32.0,10.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.1,0.0005,32.0,10.0,1.0,1.0,1.0,1.0,1.0
32.0,3.0,0.1,0.0005,16.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.1,0.0005,16.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.1,0.001,32.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.1,0.01,8.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.0,0.001,8.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.1,0.01,8.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,3.0,0.1,0.001,8.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.1,0.01,32.0,10.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.1,0.001,8.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.1,0.001,8.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.2,0.001,8.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.2,0.001,8.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.2,0.001,8.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.2,0.001,8.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.2,0.001,8.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.2,0.001,8.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.2,0.001,32.0,10.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.0,0.01,8.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.0,0.01,8.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,3.0,0.1,0.01,8.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.1,0.01,8.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.1,0.01,8.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.1,0.001,32.0,10.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.0,0.0005,8.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.1,0.001,8.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.0,0.0005,32.0,10.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.2,0.0005,32.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.1,0.001,16.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.1,0.0005,32.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.1,0.001,16.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.0,0.001,16.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.0,0.001,16.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.1,0.0005,32.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.1,0.0005,32.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.2,0.0005,32.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.2,0.0005,32.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.2,0.001,8.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.2,0.0005,32.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.2,0.0005,32.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.2,0.0005,32.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.2,0.0005,32.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.2,0.0005,16.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,3.0,0.0,0.001,32.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.0,0.001,32.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.2,0.0005,16.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.1,0.0005,32.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.1,0.0005,32.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.2,0.001,16.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.2,0.001,16.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.2,0.01,16.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.2,0.01,16.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.2,0.01,16.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.0,0.0005,32.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.0,0.01,16.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.0,0.01,16.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,3.0,0.0,0.0005,32.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.0,0.0005,32.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.0,0.01,16.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.0,0.0005,32.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,3.0,0.0,0.01,16.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.0,0.0005,32.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.2,0.001,16.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.2,0.001,16.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.2,0.001,16.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.2,0.001,16.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.2,0.001,16.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.2,0.0005,16.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.1,0.0005,16.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.1,0.0005,16.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.1,0.001,32.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.2,0.001,32.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,3.0,0.2,0.001,32.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.2,0.001,32.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.2,0.001,32.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.2,0.001,32.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.0,0.01,32.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.1,0.01,32.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.0,0.01,8.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.2,0.01,32.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.0,0.0005,8.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,3.0,0.0,0.0005,8.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.2,0.001,8.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.2,0.001,8.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.2,0.001,8.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.2,0.001,8.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.2,0.001,8.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,3.0,0.2,0.001,8.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.1,0.001,32.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.1,0.001,32.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.1,0.0005,16.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.2,0.01,8.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.1,0.0005,16.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.1,0.0005,16.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.1,0.0005,16.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.1,0.0005,16.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.0,0.0005,16.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.0,0.0005,16.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.0,0.0005,16.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.0,0.0005,16.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.0,0.0005,16.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.0,0.001,32.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.0,0.001,32.0,25.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.1,0.001,32.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.1,0.001,32.0,25.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.2,0.01,8.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.1,0.001,32.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.2,0.01,8.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.2,0.01,8.0,25.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.1,0.0005,16.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.2,0.01,8.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.1,0.0005,16.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.0,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.2,0.0005,32.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,3.0,0.2,0.01,8.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.2,0.0005,32.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.1,0.01,8.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.1,0.01,8.0,10.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.0,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,3.0,0.0,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.0,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.2,0.0005,32.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.0,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.0,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.1,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,3.0,0.1,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.1,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.1,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.2,0.001,8.0,10.0,1.0,1.0,1.0,1.0,1.0
32.0,3.0,0.2,0.0005,32.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.1,0.0005,32.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.1,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.0,0.0005,32.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.0,0.01,16.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.2,0.0005,16.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.2,0.01,16.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.2,0.0005,16.0,10.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.2,0.0005,16.0,10.0,1.0,1.0,1.0,1.0,1.0
32.0,3.0,0.0,0.0005,32.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.1,0.0005,16.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.1,0.0005,16.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.1,0.0005,32.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.0,0.0005,32.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.0,0.0005,32.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.0,0.0005,32.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.0,0.0005,16.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.0,0.0005,16.0,10.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.1,0.0005,32.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.0,0.0005,16.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.2,0.001,8.0,10.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.2,0.001,8.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.0,0.001,16.0,10.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.1,0.0005,8.0,10.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.2,0.0005,8.0,10.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.1,0.01,32.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.2,0.0005,8.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.1,0.0005,8.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.1,0.0005,8.0,10.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.1,0.0005,8.0,10.0,1.0,1.0,1.0,1.0,1.0
32.0,3.0,0.2,0.01,32.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.2,0.01,32.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.2,0.0005,8.0,10.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.1,0.0005,8.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.0,0.0005,8.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.0,0.0005,8.0,10.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.2,0.01,32.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.0,0.0005,8.0,10.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.0,0.0005,8.0,10.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.0,0.0005,8.0,10.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.2,0.0005,8.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.2,0.0005,8.0,10.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.2,0.001,8.0,10.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.2,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.1,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.2,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,3.0,0.2,0.001,8.0,10.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.2,0.001,8.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.1,0.001,8.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.1,0.001,8.0,10.0,1.0,1.0,1.0,1.0,1.0
32.0,3.0,0.2,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.2,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.2,0.0005,8.0,10.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.2,0.001,32.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,3.0,0.0,0.01,32.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.0,0.01,32.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.0,0.01,32.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.0,0.001,8.0,10.0,1.0,1.0,1.0,1.0,1.0
32.0,3.0,0.0,0.001,8.0,10.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.0,0.001,8.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.0,0.001,16.0,10.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.1,0.0005,32.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,3.0,0.1,0.001,16.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.0,0.01,16.0,10.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.2,0.0005,16.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.1,0.001,16.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.1,0.001,16.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.1,0.001,16.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.2,0.01,16.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.2,0.001,16.0,10.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.2,0.001,16.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.0,0.001,16.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.2,0.001,16.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,5.0,0.2,0.01,16.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.2,0.0005,16.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,3.0,0.2,0.001,16.0,10.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.2,0.001,16.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.2,0.0005,16.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.2,0.001,16.0,10.0,1.0,1.0,1.0,1.0,1.0
32.0,3.0,0.2,0.01,16.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.2,0.001,16.0,10.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.2,0.0005,16.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,5.0,0.0,0.001,16.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,3.0,0.2,0.0005,16.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.0,0.01,16.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.0,0.001,16.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.0,0.0005,32.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,5.0,0.1,0.0005,16.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.1,0.001,16.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.1,0.0005,16.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.0,0.001,16.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,1.0,0.2,0.0005,16.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.1,0.001,16.0,50.0,1.0,1.0,1.0,1.0,1.0
128.0,1.0,0.1,0.001,16.0,50.0,1.0,1.0,1.0,1.0,1.0
32.0,3.0,0.0,0.01,16.0,50.0,1.0,1.0,1.0,1.0,1.0
64.0,1.0,0.1,0.01,16.0,10.0,1.0,1.0,1.0,1.0,1.0
128.0,3.0,0.2,0.001,32.0,50.0,0.975,0.9750471401634193,0.9763157894736842,0.975,1.0
128.0,5.0,0.2,0.001,32.0,50.0,0.975,0.9750471401634193,0.9763157894736842,0.975,0.9974747474747474
32.0,1.0,0.0,0.01,32.0,50.0,0.975,0.9750471401634193,0.9763157894736842,0.975,1.0
128.0,1.0,0.0,0.001,32.0,25.0,0.975,0.9750471401634193,0.9763157894736842,0.975,1.0
64.0,3.0,0.0,0.001,16.0,50.0,0.975,0.9750471401634193,0.9763157894736842,0.975,1.0
128.0,1.0,0.2,0.001,32.0,50.0,0.975,0.9750471401634193,0.9763157894736842,0.975,1.0
64.0,5.0,0.0,0.001,32.0,25.0,0.975,0.9750471401634193,0.9763157894736842,0.975,1.0
32.0,1.0,0.0,0.001,32.0,25.0,0.975,0.9750471401634193,0.9763157894736842,0.975,1.0
64.0,5.0,0.0,0.001,16.0,50.0,0.975,0.9750471401634193,0.9763157894736842,0.975,1.0
64.0,5.0,0.2,0.01,8.0,50.0,0.975,0.9750471401634193,0.9763157894736842,0.975,1.0
64.0,3.0,0.2,0.01,8.0,50.0,0.975,0.9750471401634193,0.9763157894736842,0.975,1.0
64.0,1.0,0.0,0.001,32.0,25.0,0.975,0.9750471401634193,0.9763157894736842,0.975,1.0
128.0,1.0,0.0,0.001,16.0,50.0,0.975,0.9750471401634193,0.9763157894736842,0.975,1.0
64.0,1.0,0.2,0.01,8.0,50.0,0.975,0.9750471401634193,0.9763157894736842,0.975,1.0
32.0,3.0,0.0,0.001,16.0,50.0,0.975,0.9750471401634193,0.9763157894736842,0.975,1.0
64.0,3.0,0.0,0.001,32.0,25.0,0.975,0.9750471401634193,0.9763157894736842,0.975,0.9974747474747474
64.0,5.0,0.2,0.0005,8.0,50.0,0.975,0.9750471401634193,0.9763157894736842,0.975,1.0
32.0,1.0,0.0,0.001,16.0,50.0,0.975,0.9750471401634193,0.9763157894736842,0.975,1.0
128.0,5.0,0.1,0.01,32.0,50.0,0.975,0.9750471401634193,0.9763157894736842,0.975,1.0
32.0,1.0,0.2,0.01,16.0,25.0,0.975,0.9750471401634193,0.9763157894736842,0.975,1.0
64.0,1.0,0.2,0.01,16.0,25.0,0.975,0.9750471401634193,0.9763157894736842,0.975,1.0
128.0,1.0,0.2,0.01,32.0,50.0,0.975,0.9750471401634193,0.9763157894736842,0.975,1.0
128.0,5.0,0.2,0.01,16.0,25.0,0.975,0.9750471401634193,0.9763157894736842,0.975,1.0
